"","predator","predator.sp.","Predator.size","Prey","prey.size","Trial.Started","Trial.stopped","eaten","predator.sp.lept","body","tail","predator.names","eaten.numeric","Prey.species"
"125","L201","","","1 Monopelopia","","25/03/11","27/03/11","1","elongatum",12,5,"Leptagrion.elongatum",1,"Monopelopia"
"126","L201","","","1 Trichoptera","","23/03/11","25/03/11","0","elongatum",12,5,"Leptagrion.elongatum",0,"Phylloicus bromeliarum"
"127","L204","","","1 Psychodid ","","28/03/11","30/03/11","1","elongatum",12,4,"Leptagrion.elongatum",1,"Psychodid"
"128","L204","","","1 Monopelopia ","","30/03/11","03/04/11","1","elongatum",12,4,"Leptagrion.elongatum",1,"Monopelopia"
"129","L206","","","1 Monopelopia ","","30/03/11","03/04/11","1","elongatum",9,3,"Leptagrion.elongatum",1,"Monopelopia"
"130","L206","","","1 Psychodid ","","28/03/11","30/03/11","1","elongatum",9,3,"Leptagrion.elongatum",1,"Psychodid"
"131","L207","","","1 Culex","","28/04/11","30/04/11","1","andromache",4.5,2.5,"Leptagrion.andromache",1,"Culex"
"132","L211","","","1 Monopelopia ","","30/03/11","03/04/11","1","",NA,NA,NA,1,"Monopelopia"
"133","L211","","","1 Psychodid ","","28/03/11","30/03/11","1","",NA,NA,NA,1,"Psychodid"
"134","L212","","","1 Monopelopia ","","30/03/11","03/04/11","1","",NA,NA,NA,1,"Monopelopia"
"135","L212","","","1 Psychodid ","","28/03/11","30/03/11","1","",NA,NA,NA,1,"Psychodid"
"136","L218","","","1 Psychodid ","","28/03/11","30/03/11","1","",NA,NA,NA,1,"Psychodid"
"137","L218","","","1 Monopelopia ","","30/03/11","03/04/11","1","",NA,NA,NA,1,"Monopelopia"
"138","L220","","","1 Psychodid ","","28/03/11","30/03/11","1","",NA,NA,NA,1,"Psychodid"
"139","L220","","","1 Monopelopia ","","30/03/11","03/04/11","1","",NA,NA,NA,1,"Monopelopia"
"140","L38","","(s)","1 Tipulid ","small-medium","21/03/11","23/03/11","1","small",NA,NA,"Leptagrion.small",1,"Tipulid"
"141","L38","","","1 Polypedilum 1","","28/03/11","30/03/11","1","small",NA,NA,"Leptagrion.small",1,"Polypedilum 1"
"142","L38","","","1 Trichoptera","","23/03/11","25/03/11","0","small",NA,NA,"Leptagrion.small",0,"Phylloicus bromeliarum"
"143","L38","","","1 Monopelopia","","25/03/11","27/03/11","1","small",NA,NA,"Leptagrion.small",1,"Monopelopia"
"144","L38","","","1 Culex","","30/03/11","03/04/11","0","small",NA,NA,"Leptagrion.small",0,"Culex"
"145","L4","","","1 Scirtes B","","28/03/11","30/03/11","0",NA,NA,NA,"Leptagrion.elongatum",0,"Scirtes B"
"146","L4","","","1 Chironomus detriticula","","30/03/11","03/04/11","1",NA,NA,NA,"Leptagrion.elongatum",1,"Chironomus detriticula"
"147","L4","","(s)","1 Scirtes A","small","21/03/11","23/03/11","0",NA,NA,NA,"Leptagrion.elongatum",0,"Scirtes A"
"148","L4","","","5 Ostracoda","","23/03/11","25/03/11","1",NA,NA,NA,"Leptagrion.elongatum",1,"Ostracod"
"149","L4","","","1 Leech","","25/03/11","27/03/11","0",NA,NA,NA,"Leptagrion.elongatum",0,"Hirudinidae"
"150","L63","","(s)","1 Tipulid ","small-medium","21/03/11","23/03/11","1","elongatum",7,3,"Leptagrion.elongatum",1,"Tipulid"
"151","L63","","","1 Polypedilum 1","","28/03/11","30/03/11","1","elongatum",7,3,"Leptagrion.elongatum",1,"Polypedilum 1"
"152","L63","","","1 Monopelopia","","25/03/11","27/03/11","1","elongatum",7,3,"Leptagrion.elongatum",1,"Monopelopia"
"153","L63","","","1 Trichoptera","","23/03/11","25/03/11","0","elongatum",7,3,"Leptagrion.elongatum",0,"Phylloicus bromeliarum"
"154","L63","","","1 Culex","","30/03/11","03/04/11","1","elongatum",7,3,"Leptagrion.elongatum",1,"Culex"
"155","L67","","","1 Trichoptera","","23/03/11","25/03/11","0","elongatum",6.5,NA,"Leptagrion.elongatum",0,"Phylloicus bromeliarum"
"156","L67","","","1 Monopelopia","","25/03/11","27/03/11","1","elongatum",6.5,NA,"Leptagrion.elongatum",1,"Monopelopia"
"157","L67","","","1 Culex","","30/03/11","03/04/11","1","elongatum",6.5,NA,"Leptagrion.elongatum",1,"Culex"
"158","L67","","","1 Polypedilum 1","","28/03/11","30/03/11","1","elongatum",6.5,NA,"Leptagrion.elongatum",1,"Polypedilum 1"
"159","L67","","(s)","1 Tipulid ","large","21/03/11","23/03/11","0","elongatum",6.5,NA,"Leptagrion.elongatum",0,"Tipulid"
"160","L70","","","1 Leech","","25/03/11","27/03/11","0","elongatum",6.5,NA,"Leptagrion.elongatum",0,"Hirudinidae"
"161","L70","","","5 Ostracoda","","23/03/11","25/03/11","0","elongatum",6.5,NA,"Leptagrion.elongatum",0,"Ostracod"
"162","L70","","(s)","1 Scirtes A","small","21/03/11","23/03/11","1","elongatum",6.5,NA,"Leptagrion.elongatum",1,"Scirtes A"
"163","L70","","","1 Scirtes B","","28/03/11","30/03/11","1","elongatum",6.5,NA,"Leptagrion.elongatum",1,"Scirtes B"
"164","L70","","","1 Chironomus detriticula","","30/03/11","03/04/11","1","elongatum",6.5,NA,"Leptagrion.elongatum",1,"Chironomus detriticula"
"165","LA","","","1 Leech","small","25/03/11","27/03/11","0","tan",10,3,"Leptagrion.tan",0,"Hirudinidae"
"166","LA","","","5 Ostracoda","","23/03/11","25/03/11","0","tan",10,3,"Leptagrion.tan",0,"Ostracod"
"167","LA","","","1 Tipulid","Large","21/03/11","23/03/11","1","tan",10,3,"Leptagrion.tan",1,"Tipulid"
"168","LA","","","1 Culex","","30/03/11","03/04/11","1","tan",10,3,"Leptagrion.tan",1,"Culex"
"169","LA","","","1 Polypedilum 1","","28/03/11","30/03/11","1","tan",10,3,"Leptagrion.tan",1,"Polypedilum 1"
"170","LB","","","1 Polypedilum 1","","28/03/11","30/03/11","1","tan",8,3,"Leptagrion.tan",1,"Polypedilum 1"
"171","LB","","","5 Ostracoda","","23/03/11","25/03/11","1","tan",8,3,"Leptagrion.tan",1,"Ostracod"
"172","LB","","","1 Tipulid","small-medium","21/03/11","23/03/11","1","tan",8,3,"Leptagrion.tan",1,"Tipulid"
"173","LB","","","1 Leech","small","25/03/11","27/03/11","0","tan",8,3,"Leptagrion.tan",0,"Hirudinidae"
"174","LB","","","1 Culex","","30/03/11","03/04/11","1","tan",8,3,"Leptagrion.tan",1,"Culex"
"175","LC","","","1 Tipulid","medium","21/03/11","23/03/11","1","tan",9,4,"Leptagrion.tan",1,"Tipulid"
"176","LC","","","1 Polypedilum 1","","28/03/11","30/03/11","1","tan",9,4,"Leptagrion.tan",1,"Polypedilum 1"
"177","LC","","","5 Ostracoda","","23/03/11","25/03/11","1","tan",9,4,"Leptagrion.tan",1,"Ostracod"
"178","LC","","","1 Leech","small","25/03/11","27/03/11","0","tan",9,4,"Leptagrion.tan",0,"Hirudinidae"
"179","LC","","","1 Culex","","30/03/11","03/04/11","0","tan",9,4,"Leptagrion.tan",0,"Culex"
"180","LD","","","1 Leech","small","25/03/11","27/03/11","0","tan",7,3,"Leptagrion.tan",0,"Hirudinidae"
"181","LD","","","1 Polypedilum 1","","28/03/11","30/03/11","1","tan",7,3,"Leptagrion.tan",1,"Polypedilum 1"
"182","LD","","","5 Ostracoda","","23/03/11","25/03/11","1","tan",7,3,"Leptagrion.tan",1,"Ostracod"
"183","LD","","","1 Culex","","30/03/11","03/04/11","1","tan",7,3,"Leptagrion.tan",1,"Culex"
"184","LD","","","1 Tipulid","small-medium","21/03/11","23/03/11","1","tan",7,3,"Leptagrion.tan",1,"Tipulid"
"185","LE","","","1 Polypedilum 1","","28/03/11","30/03/11","1","tan",9,3.5,"Leptagrion.tan",1,"Polypedilum 1"
"186","LE","","","1 Leech","small","25/03/11","27/03/11","0","tan",9,3.5,"Leptagrion.tan",0,"Hirudinidae"
"187","LE","","","1 Culex","","30/03/11","03/04/11","1","tan",9,3.5,"Leptagrion.tan",1,"Culex"
"188","LE","","","1 Tipulid","medium","21/03/11","23/03/11","1","tan",9,3.5,"Leptagrion.tan",1,"Tipulid"
"189","LE","","","5 Ostracoda","","23/03/11","25/03/11","1","tan",9,3.5,"Leptagrion.tan",1,"Ostracod"
"190","LF","","","1 Tipulid","Large","21/03/11","23/03/11","1","tan",11,4,"Leptagrion.tan",1,"Tipulid"
"191","LF","","","1 Polypedilum 1","","28/03/11","30/03/11","1","tan",11,4,"Leptagrion.tan",1,"Polypedilum 1"
"192","LF","","","5 Ostracoda","","23/03/11","25/03/11","1","tan",11,4,"Leptagrion.tan",1,"Ostracod"
"193","LF","","","1 Culex","","30/03/11","03/04/11","0","tan",11,4,"Leptagrion.tan",0,"Culex"
"194","LF","","","1 Leech","medium","25/03/11","27/03/11","0","tan",11,4,"Leptagrion.tan",0,"Hirudinidae"
"195","LG","","","5 Ostracoda","","23/03/11","25/03/11","0","tan",7,3,"Leptagrion.tan",0,"Ostracod"
"196","LG","","","1 Tipulid","Medium","21/03/11","23/03/11","1","tan",7,3,"Leptagrion.tan",1,"Tipulid"
"197","LG","","","1 Leech","small","25/03/11","27/03/11","0","tan",7,3,"Leptagrion.tan",0,"Hirudinidae"
"198","LH","","","5 Ostracoda","","23/03/11","25/03/11","0","tan",6.5,3,"Leptagrion.tan",0,"Ostracod"
"199","LH","","","1 Leech","small","25/03/11","27/03/11","0","tan",6.5,3,"Leptagrion.tan",0,"Hirudinidae"
"200","LH","","","1 Tipulid","small-medium","21/03/11","23/03/11","1","tan",6.5,3,"Leptagrion.tan",1,"Tipulid"
"201","LH","","","1 Culex","","30/03/11","03/04/11","0","tan",6.5,3,"Leptagrion.tan",0,"Culex"
"202","LH","","","1 Polypedilum 1","","28/03/11","30/03/11","1","tan",6.5,3,"Leptagrion.tan",1,"Polypedilum 1"
"203","LI","","","1 Monopelopia","","25/03/11","27/03/11","1","tan",9.5,3,"Leptagrion.tan",1,"Monopelopia"
"204","LI","","","1 Trichoptera","","23/03/11","25/03/11","0","tan",9.5,3,"Leptagrion.tan",0,"Phylloicus bromeliarum"
"205","LI","","","1 Chironomus detriticula","","30/03/11","03/04/11","1","tan",9.5,3,"Leptagrion.tan",1,"Chironomus detriticula"
"206","LI","","","1 Scirtes B","","28/03/11","30/03/11","0","tan",9.5,3,"Leptagrion.tan",0,"Scirtes B"
"207","LI","","","1 Scirtes A","small","21/03/11","23/03/11","1","tan",9.5,3,"Leptagrion.tan",1,"Scirtes A"
"208","LJ","","","1 Trichoptera","","23/03/11","25/03/11","0","tan",7,2.5,"Leptagrion.tan",0,"Phylloicus bromeliarum"
"209","LJ","","","1 Monopelopia","","25/03/11","27/03/11","0","tan",7,2.5,"Leptagrion.tan",0,"Monopelopia"
"210","LJ","","","1 Scirtes B","","28/03/11","30/03/11","1","tan",7,2.5,"Leptagrion.tan",1,"Scirtes B"
"211","LJ","","","1 Chironomus detriticula","","30/03/11","03/04/11","1","tan",7,2.5,"Leptagrion.tan",1,"Chironomus detriticula"
"212","LJ","","","1 Scirtes A","small","21/03/11","23/03/11","1","tan",7,2.5,"Leptagrion.tan",1,"Scirtes A"
"213","LK","","","1 Trichoptera","","23/03/11","25/03/11","0","tan",10,3.5,"Leptagrion.tan",0,"Phylloicus bromeliarum"
"214","LK","","","1 Scirtes B","","28/03/11","30/03/11","0","tan",10,3.5,"Leptagrion.tan",0,"Scirtes B"
"215","LK","","","1 Monopelopia","","25/03/11","27/03/11","1","tan",10,3.5,"Leptagrion.tan",1,"Monopelopia"
"216","LK","","","1 Chironomus detriticula","","30/03/11","03/04/11","1","tan",10,3.5,"Leptagrion.tan",1,"Chironomus detriticula"
"217","LK","","","1 Scirtes A","small","21/03/11","23/03/11","1","tan",10,3.5,"Leptagrion.tan",1,"Scirtes A"
"218","LL","","","1 Monopelopia","","25/03/11","27/03/11","0","tan",7,3,"Leptagrion.tan",0,"Monopelopia"
