"Number","Sp. ","Date","Measuring (body)","Measuring (tail)","Comments","Who used","sp.ID","species","date caught","Length.body (mm)","Length.tail (mm)","number of tails","status","notes"
"L148","andromache",03-Mar,9,3,"one tail less","Andrew",,,,,,,,
"L149","andromache",03-Mar,10,3,"ok",,,,,,,,,
"L150","elongatum",03-Mar,7,3,"one tail less",,,,,,,,,
"L151","dead",03-Mar,11,4,"ok",,,,,,,,,
"L152","andromache",03-Mar,9.5,3,"ok","Andrew",,,,,,,,
"L153","andromache",03-Mar,8.5,3,"ok","Andrew",,,,,,,,
"L154","elongatum",04-Mar,16,5,"ok","Andrew",,,,,,,,
"L155","elongatum",04-Mar,16.5,5,"ok","Andrew",,,,,,,,
"L156","elongatum",04-Mar,17,5,"ok","Andrew",,,,,,,,
"L157","elongatum",04-Mar,12,4,"ok","Andrew",,,,,,,,
"L158","elongatum",04-Mar,10,3,"two legs less","Andrew",,,,,,,,
"L159","elongatum",04-Mar,17,5,"ok","Andrew",,,,,,,,
"L160","elongatum",04-Mar,17,5,"ok","Andrew",,,,,,,,
"L161","andromache",04-Mar,9,3.5,"one tail less","Andrew",,,,,,,,
"L162","andromache",03-Mar,8,3,"ok",,,,,,,,,
"L163","andromache",07-Mar,11,4,"one tail less","Andrew",,,,,,,,
"L164","andromache",07-Mar,11,4,"one tail less","Andrew",,,,,,,,
"L165","andromache",08-Mar,8,2,"ok","Andrew",,,,,,,,
"L166","andromache",08-Mar,11.5,3,"ok","Andrew",,,,,,,,
"L167","andromache",08-Mar,10,4,"ok","Andrew",,,,,,,,
"L168","andromache",08-Mar,9,3,"ok","Andrew",,,,,,,,
"L169","andromache",08-Mar,12,4,"ok","Andrew",,,,,,,,
"L170","andromache",08-Mar,7,2,"ok","Alathea",,,,,,,,
"L171","elongatum",08-Mar,15,3,"ok","Andrew",,,,,,,,
"L172","elongatum",08-Mar,11.5,4,"ok","Andrew",,,,,,,,
"L173","elongatum",09-Mar,15.5,5,"ok","Robin",,,,,,,,
"L174","elongatum",09-Mar,16,5,"ok","Robin",,,,,,,,
"L175","elongatum",09-Mar,8.5,3.5,"ok","Robin",,,,,,,,
"L176","elongatum",09-Mar,16,5,"ok","Robin",,,,,,,,
"L177","elongatum",09-Mar,16,5,"ok","Robin",,,,,,,,
"L178","andromache",09-Mar,8.5,3,"ok","Alathea",,,,,,,,
"L179","andromache",10-Mar,9,4,"ok","Alathea",,,,,,,,
"L180","elongatum",10-Mar,16,5.5,"one tail less","Robin",,,,,,,,
"L181","elongatum",11-Mar,10,4,"ok","Robin",,,,,,,,
"L182","elongatum",11-Mar,15,5,"ok","Robin",,,,,,,,
"L183","elongatum",11-Mar,10,4,"ok",,,,,,,,,
"L184","elongatum",11-Mar,8,3,"ok","Robin",,,,,,,,
"L185","elongatum",12-Mar,8,3.5,"ok","Robin",,,,,,,,
"L186","elongatum",13-Mar,9,3,"ok","Robin",,,,,,,,
"L187","elongatum",13-Mar,15,4.5,"ok","Robin",,,,,,,,
"L188","elongatum",13-Mar,16,5,"ok","Robin",,,,,,,,
"L189","elongatum",14-Mar,8,3,"ok","Robin",,,,,,,,
"L190","elongatum",13-Mar,8,3,"ok",,,,,,,,,
"L191","andromache",04-Mar,8.5,3,"just one tail",,,,,,,,,
"L192","andromache",14-Mar,9,4,"ok","Robin",,,,,,,,
"L193","dead",18-Mar,12,4,"ok",,,,,,,,,
"L194","elongatum",13-Mar,16,5,"ok",,,,,,,,,
