"phylopred1","phylopred2","phylodistance","L_or_R","species_pair"
"Monopelopia","Empididae.sp1",530.4,"pairs_LH","Empididae.sp1_Monopelopia"
"Bezzia.sp2","Empididae.sp1",530.4,"pairs_LH","Empididae.sp1_Bezzia.sp2"
"Bezzia.sp1","Empididae.sp1",530.4,"pairs_LH","Empididae.sp1_Bezzia.sp1"
"Corethrella","Empididae.sp1",530.4,"pairs_LH","Empididae.sp1_Corethrella"
"Dolichopodidae","Empididae.sp1",172,"pairs_LH","Empididae.sp1_Dolichopodidae"
"Empididae.sp2","Empididae.sp1",30,"pairs_LH","Empididae.sp1_Empididae.sp2"
"Leptagrion.andromache","Tabanidae.spA",761.5,"pairs_LH","Tabanidae.spA_Leptagrion.andromache"
"Leptagrion.tan","Tabanidae.spA",761.5,"pairs_LH","Tabanidae.spA_Leptagrion.tan"
"Leptagrion.elongatum","Tabanidae.spA",761.5,"pairs_LH","Tabanidae.spA_Leptagrion.elongatum"
"Monopelopia","Tabanidae.spA",530.4,"pairs_LH","Tabanidae.spA_Monopelopia"
"Bezzia.sp2","Tabanidae.spA",530.4,"pairs_LH","Tabanidae.spA_Bezzia.sp2"
"Bezzia.sp1","Tabanidae.spA",530.4,"pairs_LH","Tabanidae.spA_Bezzia.sp1"
"Corethrella","Tabanidae.spA",530.4,"pairs_LH","Tabanidae.spA_Corethrella"
"Dolichopodidae","Tabanidae.spA",432,"pairs_LH","Tabanidae.spA_Dolichopodidae"
"Empididae.sp2","Tabanidae.spA",432,"pairs_LH","Tabanidae.spA_Empididae.sp2"
"Empididae.sp1","Tabanidae.spA",432,"pairs_LH","Tabanidae.spA_Empididae.sp1"
"Leptagrion.andromache","Tabanidae.spB",761.5,"pairs_LH","Tabanidae.spB_Leptagrion.andromache"
"Leptagrion.tan","Tabanidae.spB",761.5,"pairs_LH","Tabanidae.spB_Leptagrion.tan"
"Leptagrion.elongatum","Tabanidae.spB",761.5,"pairs_LH","Tabanidae.spB_Leptagrion.elongatum"
"Monopelopia","Tabanidae.spB",530.4,"pairs_LH","Tabanidae.spB_Monopelopia"
"Bezzia.sp2","Tabanidae.spB",530.4,"pairs_LH","Tabanidae.spB_Bezzia.sp2"
"Bezzia.sp1","Tabanidae.spB",530.4,"pairs_LH","Tabanidae.spB_Bezzia.sp1"
"Corethrella","Tabanidae.spB",530.4,"pairs_LH","Tabanidae.spB_Corethrella"
"Dolichopodidae","Tabanidae.spB",432,"pairs_LH","Tabanidae.spB_Dolichopodidae"
"Empididae.sp2","Tabanidae.spB",432,"pairs_LH","Tabanidae.spB_Empididae.sp2"
"Empididae.sp1","Tabanidae.spB",432,"pairs_LH","Tabanidae.spB_Empididae.sp1"
"Tabanidae.spA","Tabanidae.spB",40,"pairs_LH","Tabanidae.spB_Tabanidae.spA"
"Leptagrion.andromache","Tabanidae.spC",761.5,"pairs_LH","Tabanidae.spC_Leptagrion.andromache"
"Leptagrion.tan","Tabanidae.spC",761.5,"pairs_LH","Tabanidae.spC_Leptagrion.tan"
"Leptagrion.elongatum","Tabanidae.spC",761.5,"pairs_LH","Tabanidae.spC_Leptagrion.elongatum"
"Monopelopia","Tabanidae.spC",530.4,"pairs_LH","Tabanidae.spC_Monopelopia"
"Bezzia.sp2","Tabanidae.spC",530.4,"pairs_LH","Tabanidae.spC_Bezzia.sp2"
"Bezzia.sp1","Tabanidae.spC",530.4,"pairs_LH","Tabanidae.spC_Bezzia.sp1"
"Corethrella","Tabanidae.spC",530.4,"pairs_LH","Tabanidae.spC_Corethrella"
"Dolichopodidae","Tabanidae.spC",432,"pairs_LH","Tabanidae.spC_Dolichopodidae"
"Empididae.sp2","Tabanidae.spC",432,"pairs_LH","Tabanidae.spC_Empididae.sp2"
"Empididae.sp1","Tabanidae.spC",432,"pairs_LH","Tabanidae.spC_Empididae.sp1"
"Tabanidae.spA","Tabanidae.spC",40,"pairs_LH","Tabanidae.spC_Tabanidae.spA"
"Tabanidae.spB","Tabanidae.spC",40,"pairs_LH","Tabanidae.spC_Tabanidae.spB"
"Leptagrion.andromache","Hirudinidae",1122,"pairs_LH","Hirudinidae_Leptagrion.andromache"
"Leptagrion.tan","Hirudinidae",1122,"pairs_LH","Hirudinidae_Leptagrion.tan"
"Leptagrion.elongatum","Hirudinidae",1122,"pairs_LH","Hirudinidae_Leptagrion.elongatum"
"Monopelopia","Hirudinidae",1122,"pairs_LH","Hirudinidae_Monopelopia"
"Bezzia.sp2","Hirudinidae",1122,"pairs_LH","Hirudinidae_Bezzia.sp2"
"Bezzia.sp1","Hirudinidae",1122,"pairs_LH","Hirudinidae_Bezzia.sp1"
"Corethrella","Hirudinidae",1122,"pairs_LH","Hirudinidae_Corethrella"
"Dolichopodidae","Hirudinidae",1122,"pairs_LH","Hirudinidae_Dolichopodidae"
"Empididae.sp2","Hirudinidae",1122,"pairs_LH","Hirudinidae_Empididae.sp2"
"Empididae.sp1","Hirudinidae",1122,"pairs_LH","Hirudinidae_Empididae.sp1"
"Tabanidae.spA","Hirudinidae",1122,"pairs_LH","Hirudinidae_Tabanidae.spA"
"Tabanidae.spB","Hirudinidae",1122,"pairs_LH","Hirudinidae_Tabanidae.spB"
"Tabanidae.spC","Hirudinidae",1122,"pairs_LH","Hirudinidae_Tabanidae.spC"
