Taxa	original_name	Biomass.avg.sp	Brom 3	Brom 46	Brom 95	Brom 102	Brom 16	Brom 48	Brom 85	Brom 64	Brom 82	Brom 77	Brom 7	Brom 1	Brom 4	Brom 53	Brom 40	Brom 79	Brom A	Brom B	Brom C	Brom D	Brom E	Brom F	Brom G	Brom H	Brom I	
Leech sp A (green dots)	Leech sp A (green dots)	0.000575	0	0	10	15	2	0	0	0	0	0	0	1	0	0	4	0	1	0	0	0	0	0	0	0	0	#
Leech sp B (black)	Leech sp B (black)	0.000575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	#
Tubificidae sp.	Oligochate (white)	5E-05	0	3	6	7	0	4	0	6	0	1	9	6	3	2	10	12	0	0	0	3	0	0	0	0	1	#
Elpidium bromeliarum	Ostracod sp A (brown)	6.33802816901409E-05	1	6	0	1	3	0	0	4	3	9	4	17	488	199	2	3	273	0	0	1146	0	0	0	1	0	#
Callistocypris mckenziei	Ostracod sp B (white)	6.33802816901409E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	#
Psychodid sp A (pigpen)	Psychodid sp A (pigpen)	0.0007888889	0	0	1	15	2	2	0	1	0	3	0	6	0	0	4	0	0	0	0	0	0	0	0	0	0	# larvae
Psychodid sp A (pigpen)	Psychodid sp A (pigpen)	0.00011	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	# pupae
Psychodid sp B+C (same species)	Psychodid sp B+C (same species)	0.0007888889	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	#
Psychodid sp D	Psychodid sp D	0.0007888889	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#
Psychodid sp E	Psychodid sp E	0.0007888889	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	#
Psychodid sp F+G (same species)	Psychodid sp F+G (same species)	0.0007888889	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	1	0	0	0	0	0	0	0	0	0	#
Polypedium sp.1	Red chironomid sp A (eyes touch)	5.3882905712174E-05	14	21	7	12	18	29	4	75	0	31	2	57	82	11	11	89	0	0	31	7	14	0	0	0	0	# larvae
Polypedium sp.1	Red chironomid sp A (eyes touch)	5.3882905712174E-05	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	# pupae
Polypedium sp.2	Red chironomid sp B (no collar)	5.3882905712174E-05	0	0	0	0	0	0	2	3	0	0	2	3	9	0	0	16	1	7	18	3	0	33	23	30	3	# larvae
Polypedium sp.2	Red chironomid sp B (no collar)	5.3882905712174E-05	7	3	1	0	0	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# pupae
Chironomus aff. detriticula	Red chironomid sp D (tubercules)	0.0001737	0	8	1	0	0	203	0	40	0	0	0	74	0	0	9	30	0	0	0	0	0	0	0	0	0	# larvae
Chironomus aff. detriticula	Red chironomid sp D (tubercules)	0.0001737	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	# pupae
Tanytarsus sp.	Red chironomid sp G (bunny ears)	6.83333333333333E-05	0	0	6	7	1	1	0	19	0	5	1	0	0	3	0	4	0	0	1	10	0	0	0	0	0	#
Scyrtes sp. 1	Scirtid sp A (normal)	1E-05	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	# tiny
Scyrtes sp. 1	Scirtid sp A (normal)	5.6E-05	0	6	26	0	0	24	4	54	0	6	2	29	38	6	19	27	13	0	0	0	0	0	0	0	0	# small
Scyrtes sp. 1	Scirtid sp A (normal)	0.0002482759	4	7	9	0	0	26	3	27	0	7	1	34	29	3	19	31	4	1	6	1	0	0	0	0	0	# med
Scyrtes sp. 1	Scirtid sp A (normal)	0.0004685824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	# med-large
Scyrtes sp. 1	Scirtid sp A (normal)	0.0006888889	0	5	2	0	0	5	0	9	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	# large
Scyrtes sp. 2	Scirtid sp B (black-tipped)	5.6E-05	0	0	0	7	7	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	# small
Scyrtes sp. 2	Scirtid sp B (black-tipped)	0.000248	0	0	0	3	20	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	# med
Scyrtes sp. 2	Scirtid sp B (black-tipped)	0.0009166667	0	0	0	3	14	0	0	0	0	0	0	8	3	0	0	0	0	0	0	0	0	0	0	0	0	# large
Scyrtes sp. 2	Scirtid sp B (black-tipped)	0.0016704091	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	# x large
Scyrtes sp. 2	Scirtid sp B (black-tipped)	0.0025683311	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# xx large
aff. Copestilum sp.	Syrphid sp A (short siphon)	0.006908	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# small
aff. Copestilum sp.	Syrphid sp A (short siphon)	0.012344	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# med
aff. Copestilum sp.	Syrphid sp A (short siphon)	0.019592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# large (1.5 cm)
aff. Copestilum sp.	Syrphid sp B (pink)	0.0065	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 1.4 cm
aff. Copestilum sp.	Syrphid sp C (delicate)	0.010532	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 0.6 cm
aff. Copestilum sp.	Syrphid sp D (fringed)	0.012344	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 0.7
aff. Copestilum sp.	Syrphid sp D (fringed)	0.014156	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 0.8
aff. Copestilum sp.	Syrphid sp D (fringed)	0.021404	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 1.2
aff. Copestilum sp.	Syrphid sp D (fringed)	0.030464	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 1.7
Tabanid sp A	Tabanid sp A	0.002512	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#
Tabanid sp A	Tabanid sp A	0.002512	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 6 mm
Tabanid sp A	Tabanid sp A	0.00976	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 1 cm
Tabanid sp A	Tabanid sp A (white, medium)	0.0097	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	# 1.3
Tabanid sp A	Tabanid sp A (white, medium-large)	0.02788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	# 2
Tabanid sp A	Tabanid sp A (white, large)	0.031504	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	# 2.2
Tabanid spB (green, small-med)	Tabanid spB (green, small-med)	0.011572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	# 1.1
Tabanid spB (green, small-med)	Tabanid spB (green)	0.058684	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# Large
Tabanid spB (green, small-med)	Tabanid spB (green)	0.0097	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	# Med
Monopelopia aff caraguata	Tanypodine chironomid sp F+I (same species)	1.4E-05	0	2	0	1	0	7	0	12	0	0	1	21	7	1	8	15	0	0	4	0	0	0	0	0	0	#
Trentepohlia sp.	Tipulid sp A (grey) + B (yellow): same species	0.000175	0	1	0	0	0	1	3	0	0	1	0	9	1	2	2	2	1	0	0	2	0	0	0	1	0	# xsmall
